"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","4.7uF","C_0805_2012Metric",-81.456743,60.780397,90,"bottom"
"C2","4.7uF","C_0805_2012Metric",-75.106743,60.780397,270,"bottom"
"C3","0.1uF","C_0805_2012Metric",-94.156743,70.002897,90,"bottom"
"C4","0.1uF","C_0805_2012Metric",-80.821743,71.907897,0,"bottom"
"R1","10K","R_0805_2012Metric",-82.853743,78.504897,0,"bottom"
"R2","10K","R_0805_2012Metric",-101.649743,77.368897,90,"bottom"
"U1","AP2127K-3.3","SOT-23-5",-78.281743,60.942897,270,"bottom"
"U2","STM32F042F6Px","TSSOP-20_4.4x6.5mm_P0.65mm",-88.441743,71.272897,270,"bottom"
"U3","74LVC1G17","SOT-753",-93.775743,60.477897,90,"bottom"
