"Id";"Designator";"Package";"Quantity";"Description";"Link 1";"Link 2"
1;"J1,J2";"Shrouded_2x5_pin_header";2;"2x5 pin IDC header 2.54mm Shielded";"https://www.mouser.com/ProductDetail/Wurth-Elektronik/61201021621";"https://www.amazon.com/HONJIE-10Pins-Straight-Connector-Headers/dp/B0834RR68V"
2;"P1,P2";"PinSocket_1x15_P2.54mm_Vertical";2;"2.54mm male header pin 15 pin ";"https://www.mouser.com/ProductDetail/Molex/22-28-4150";"https://www.amazon.com/Hotop-Pack-Single-Header-Connector/dp/B06XR8CV8P"
